Addition Compare Summary
checkpoint: models/addition_mlp_seed45.pt
seed: 45
device: cpu
requested_device: cuda
target_vars: S1, C1, S2, C2
pair_sizes: train=100, calibration=1000, test=5000
factual_validation_exact_acc: 0.6205

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
S1: top_k=14, lambda=0.9, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=14, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=14, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=14, lambda=1.2, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=14, lambda=1.3, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=14, lambda=1.4, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=14, lambda=1.5, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=14, lambda=1.6, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=14, lambda=1.7, top_site=L3-d100, exact=0.1010, shared=2.0640
S1: top_k=14, lambda=1.8, top_site=L3-d100, exact=0.1010, shared=2.0640
S1: top_k=14, lambda=1.9, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=14, lambda=2, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=15, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=15, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=15, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=15, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=15, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=15, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=15, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=15, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=15, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=15, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=15, lambda=1.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=15, lambda=1.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=15, lambda=1.3, top_site=L3-d100, exact=0.1000, shared=2.0620
S1: top_k=15, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=15, lambda=1.5, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=15, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=15, lambda=1.7, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=15, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=15, lambda=1.9, top_site=L3-d100, exact=0.1010, shared=2.0640
S1: top_k=15, lambda=2, top_site=L3-d100, exact=0.1010, shared=2.0640
S1: top_k=16, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=16, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=16, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=16, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=16, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=16, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=16, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=16, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=16, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=16, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=16, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=16, lambda=1.2, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=16, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=16, lambda=1.4, top_site=L3-d100, exact=0.1000, shared=2.0620
S1: top_k=16, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=16, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=16, lambda=1.7, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=16, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=16, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=16, lambda=2, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=17, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=17, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=17, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=17, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=17, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=17, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=17, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=17, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=17, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=17, lambda=1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=17, lambda=1.1, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=17, lambda=1.2, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=17, lambda=1.3, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=17, lambda=1.4, top_site=L3-d100, exact=0.1000, shared=2.0620
S1: top_k=17, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0640
S1: top_k=17, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=17, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=17, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=17, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=17, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=18, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=18, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=18, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=18, lambda=0.4, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=18, lambda=0.5, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=18, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=18, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=18, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=18, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=18, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=18, lambda=1.1, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=18, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=18, lambda=1.3, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=18, lambda=1.4, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=18, lambda=1.5, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=18, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=18, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=18, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=18, lambda=1.9, top_site=L3-d100, exact=0.1020, shared=2.0650
S1: top_k=18, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0660
S1: top_k=19, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=19, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=19, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=19, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=19, lambda=0.5, top_site=L3-d100, exact=0.1010, shared=2.0600
S1: top_k=19, lambda=0.6, top_site=L3-d100, exact=0.1000, shared=2.0590
S1: top_k=19, lambda=0.7, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=19, lambda=0.8, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=19, lambda=0.9, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=19, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=19, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=19, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=19, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=19, lambda=1.4, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=19, lambda=1.5, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=19, lambda=1.6, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=19, lambda=1.7, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=19, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=19, lambda=1.9, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=19, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0650
S1: top_k=20, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=20, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=20, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=20, lambda=0.4, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=20, lambda=0.5, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=20, lambda=0.6, top_site=L3-d100, exact=0.1000, shared=2.0590
S1: top_k=20, lambda=0.7, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=20, lambda=0.8, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=20, lambda=0.9, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=20, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=20, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=20, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=20, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=20, lambda=1.4, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=20, lambda=1.5, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=20, lambda=1.6, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=20, lambda=1.7, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=20, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=20, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=20, lambda=2, top_site=L3-d100, exact=0.1040, shared=2.0650
S1: top_k=21, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=21, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=21, lambda=0.3, top_site=L3-d100, exact=0.1020, shared=2.0640
S1: top_k=21, lambda=0.4, top_site=L3-d100, exact=0.1010, shared=2.0630
S1: top_k=21, lambda=0.5, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=21, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=21, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=21, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=21, lambda=0.9, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=21, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=21, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=21, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=21, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=21, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=21, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=21, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=21, lambda=1.7, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=21, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=21, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=21, lambda=2, top_site=L3-d100, exact=0.1040, shared=2.0640
S1: top_k=22, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=22, lambda=0.2, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=22, lambda=0.3, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=22, lambda=0.4, top_site=L3-d100, exact=0.1000, shared=2.0610
S1: top_k=22, lambda=0.5, top_site=L3-d100, exact=0.1000, shared=2.0600
S1: top_k=22, lambda=0.6, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=22, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=22, lambda=0.8, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=0.9, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=1, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=22, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=22, lambda=1.3, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=22, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=1.6, top_site=L3-d100, exact=0.1010, shared=2.0610
S1: top_k=22, lambda=1.7, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=22, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=22, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0640
S1: top_k=22, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=23, lambda=0.1, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=23, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0630
S1: top_k=23, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=23, lambda=0.4, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=23, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=23, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=23, lambda=0.7, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=23, lambda=0.8, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=23, lambda=0.9, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=23, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=23, lambda=1.1, top_site=L3-d100, exact=0.1010, shared=2.0580
S1: top_k=23, lambda=1.2, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=23, lambda=1.3, top_site=L3-d100, exact=0.1030, shared=2.0590
S1: top_k=23, lambda=1.4, top_site=L3-d100, exact=0.1040, shared=2.0600
S1: top_k=23, lambda=1.5, top_site=L3-d100, exact=0.1040, shared=2.0600
S1: top_k=23, lambda=1.6, top_site=L3-d100, exact=0.1040, shared=2.0590
S1: top_k=23, lambda=1.7, top_site=L3-d100, exact=0.1040, shared=2.0590
S1: top_k=23, lambda=1.8, top_site=L3-d100, exact=0.1040, shared=2.0590
S1: top_k=23, lambda=1.9, top_site=L3-d100, exact=0.1040, shared=2.0590
S1: top_k=23, lambda=2, top_site=L3-d100, exact=0.1050, shared=2.0600
S1: top_k=24, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=24, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=24, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=24, lambda=0.4, top_site=L3-d100, exact=0.1050, shared=2.0630
S1: top_k=24, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=24, lambda=0.6, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=24, lambda=0.7, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=24, lambda=0.8, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=24, lambda=0.9, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=24, lambda=1, top_site=L3-d100, exact=0.1030, shared=2.0590
S1: top_k=24, lambda=1.1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=24, lambda=1.2, top_site=L3-d100, exact=0.1040, shared=2.0590
S1: top_k=24, lambda=1.3, top_site=L3-d100, exact=0.1030, shared=2.0580
S1: top_k=24, lambda=1.4, top_site=L3-d100, exact=0.1030, shared=2.0580
S1: top_k=24, lambda=1.5, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=24, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=24, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=24, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=24, lambda=1.9, top_site=L3-d100, exact=0.1030, shared=2.0580
S1: top_k=24, lambda=2, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=25, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=25, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=25, lambda=0.4, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=25, lambda=0.5, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=0.7, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=0.8, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=25, lambda=1, top_site=L3-d100, exact=0.1010, shared=2.0570
S1: top_k=25, lambda=1.1, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=25, lambda=1.2, top_site=L3-d100, exact=0.1030, shared=2.0590
S1: top_k=25, lambda=1.3, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=25, lambda=1.4, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=25, lambda=1.5, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=25, lambda=1.6, top_site=L3-d100, exact=0.1010, shared=2.0560
S1: top_k=25, lambda=1.7, top_site=L3-d100, exact=0.1010, shared=2.0560
S1: top_k=25, lambda=1.8, top_site=L3-d100, exact=0.1010, shared=2.0560
S1: top_k=25, lambda=1.9, top_site=L3-d100, exact=0.1010, shared=2.0560
S1: top_k=25, lambda=2, top_site=L3-d100, exact=0.1020, shared=2.0570
S1: top_k=26, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=26, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=26, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=26, lambda=0.4, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=26, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0630
S1: top_k=26, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=26, lambda=0.7, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=26, lambda=0.8, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=26, lambda=0.9, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=26, lambda=1, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=26, lambda=1.1, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=26, lambda=1.2, top_site=L3-d100, exact=0.1010, shared=2.0600
S1: top_k=26, lambda=1.3, top_site=L3-d100, exact=0.1010, shared=2.0600
S1: top_k=26, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0600
S1: top_k=26, lambda=1.5, top_site=L3-d100, exact=0.1020, shared=2.0610
S1: top_k=26, lambda=1.6, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=26, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=26, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=26, lambda=1.9, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=26, lambda=2, top_site=L3-d100, exact=0.0990, shared=2.0560
S1: top_k=27, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=27, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=27, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=27, lambda=0.4, top_site=L3-d100, exact=0.1030, shared=2.0620
S1: top_k=27, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0630
S1: top_k=27, lambda=0.6, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=27, lambda=0.7, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=27, lambda=0.8, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=27, lambda=0.9, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=27, lambda=1, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=27, lambda=1.1, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=27, lambda=1.2, top_site=L3-d100, exact=0.1030, shared=2.0610
S1: top_k=27, lambda=1.3, top_site=L3-d100, exact=0.1020, shared=2.0600
S1: top_k=27, lambda=1.4, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=27, lambda=1.5, top_site=L3-d100, exact=0.1000, shared=2.0570
S1: top_k=27, lambda=1.6, top_site=L3-d100, exact=0.1010, shared=2.0580
S1: top_k=27, lambda=1.7, top_site=L3-d100, exact=0.1010, shared=2.0580
S1: top_k=27, lambda=1.8, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=27, lambda=1.9, top_site=L3-d100, exact=0.1020, shared=2.0590
S1: top_k=27, lambda=2, top_site=L3-d100, exact=0.1010, shared=2.0590
S1: top_k=28, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=28, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=28, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=28, lambda=0.4, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=28, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=28, lambda=0.6, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=0.7, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=0.8, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=0.9, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=1.1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=1.2, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=28, lambda=1.3, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=28, lambda=1.4, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=28, lambda=1.5, top_site=L3-d100, exact=0.1010, shared=2.0570
S1: top_k=28, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=28, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=28, lambda=1.8, top_site=L3-d100, exact=0.1000, shared=2.0560
S1: top_k=28, lambda=1.9, top_site=L3-d100, exact=0.1010, shared=2.0570
S1: top_k=28, lambda=2, top_site=L3-d100, exact=0.1010, shared=2.0570
S1: top_k=29, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=29, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=29, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=29, lambda=0.4, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=29, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=29, lambda=0.6, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=0.7, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=0.8, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=0.9, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=1.1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=1.2, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=1.3, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=29, lambda=1.4, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=29, lambda=1.5, top_site=L3-d100, exact=0.1030, shared=2.0600
S1: top_k=29, lambda=1.6, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=29, lambda=1.7, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=29, lambda=1.8, top_site=L3-d100, exact=0.1030, shared=2.0590
S1: top_k=29, lambda=1.9, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=29, lambda=2, top_site=L3-d100, exact=0.1020, shared=2.0580
S1: top_k=30, lambda=0.1, top_site=L3-d100, exact=0.1010, shared=2.0620
S1: top_k=30, lambda=0.2, top_site=L3-d100, exact=0.1020, shared=2.0620
S1: top_k=30, lambda=0.3, top_site=L3-d100, exact=0.1030, shared=2.0630
S1: top_k=30, lambda=0.4, top_site=L3-d100, exact=0.1040, shared=2.0630
S1: top_k=30, lambda=0.5, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=30, lambda=0.6, top_site=L3-d100, exact=0.1040, shared=2.0620
S1: top_k=30, lambda=0.7, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=30, lambda=0.8, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=30, lambda=0.9, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=30, lambda=1, top_site=L3-d100, exact=0.1040, shared=2.0610
S1: top_k=30, lambda=1.1, top_site=L3-d100, exact=0.1040, shared=2.0610
